revenue,num_purchases,purchase,ab_group,av_site visit
0,0,0,A,9.04017396754352
0,0,0,A,4.81162841827608
0,0,0,A,7.34262257031514
0,0,0,A,7.74458057497395
0,0,0,A,10.5118137020617
0,0,0,A,9.57872670772485
0,0,0,A,6.16260094323661
0,0,0,A,11.9094524001702
0,0,0,A,6.54090981191257
0,0,0,A,7.99079443316441
0,0,0,A,8.24749931273981
0,0,0,A,3.01965100737288
0,0,0,A,4.99655142851407
0,0,0,A,6.69674945532461
0,0,0,A,10.1126364774536
0,0,0,A,8.00795659818686
0,0,0,A,5.99204340181313
0,0,0,A,6.72056230035378
0,0,0,A,8.68660335475578
0,0,0,A,8.70633484231075
0,0,0,A,10.4828735806513
0,0,0,A,6.33179879008094
0,0,0,A,9.49127879214939
0,0,0,A,6.45627905617584
0,0,0,A,5.1009614202776
0,0,0,A,3.12684405292384
0,0,0,A,6.13764895609347
0,0,0,A,10.6737947084475
0,0,0,A,6.43911461741663
0,0,0,A,8.00604665931314
0,0,0,A,10.1634499464417
0,0,0,A,7.48300080379704
0,0,0,A,5.82982592680491
0,0,0,A,5.62889580981573
0,0,0,A,10.6444271245273
0,0,0,A,6.56067995299236
0,0,0,A,6.23455561656738
0,0,0,A,9.70998498308472
0,0,0,A,10.5082484828308
0,0,0,A,7.24934251996456
0,0,0,A,5.91732386458898
0,0,0,A,9.40961071540369
0,0,0,A,3.63562448404264
0,0,0,A,3.02847310598008
0,0,0,A,6.60009517963044
1.885595,1,1,A,7.6546270014951
0,0,0,A,4.92345079185907
0,0,0,A,7.66448137658881
0,0,0,A,4.71703642181819
0,0,0,A,4.50472852610982
0,0,0,A,6.52518692225567
0,0,0,A,6.25345264273346
0,0,0,A,8.53117298395955
0,0,0,A,8.41419150168076
1.002159,1,1,A,6.39248937153025
0,0,0,A,6.18210050964262
0,0,0,A,9.87627699435688
0,0,0,A,6.9223336999421
0,0,0,A,5.68297436478315
0,0,0,A,10.3468768378953
0,0,0,A,5.67840870138025
0,0,0,A,6.46991920296568
0,0,0,A,7.74572653829819
0,0,0,A,10.2097250368679
0,0,0,A,5.20776338310679
0,0,0,A,7.90299408839201
0,0,0,A,5.31798049854114
0,0,0,A,5.93992935540154
0,0,0,A,7.04796902430826
0,0,0,A,5.7233741194359
0,0,0,A,7.7162861948018
0,0,0,A,8.15658622235059
0,0,0,A,11.9094524001702
0,0,0,A,7.98681994131766
0,0,0,A,6.44515820970992
0,0,0,A,6.32532318780432
0,0,0,A,6.13378815108445
0,0,0,A,8.86355464393272
0,0,0,A,6.85675003699725
0,0,0,A,8.87444584298646
0,0,0,A,6.41392616165103
0,0,0,A,8.78949449036736
2.99,1,1,A,8.59660430654185
0,0,0,A,8.9125309336232
0,0,0,A,3.99854924983811
0,0,0,A,2.29616616200655
0,0,0,A,6.95386815498932
0,0,0,A,8.89879756362643
0,0,0,A,8.96143901121104
0,0,0,A,4.85536601848435
0,0,0,A,7.29211150831542
0,0,0,A,9.16321495827287
0,0,0,A,5.02365891810041
0,0,0,A,7.25797817215789
0,0,0,A,5.64357050682884
0,0,0,A,8.77969923242926
0,0,0,A,9.32424554269528
0,0,0,A,8.21863649837906
0,0,0,A,7.47953562898329
0,0,0,A,7.40162376535591
0,0,0,A,9.05231117433868
0,0,0,A,10.6324126995168
0,0,0,A,7.3978766471846
0,0,0,A,4.85998170409584
49.99,1,1,A,8.88563262781827
0,0,0,A,6.41552232485264
0,0,0,A,5.01716512592975
0,0,0,A,4.69963324069976
0,0,0,A,10.0696992325829
0,0,0,A,4.88423338031862
22.093757,4,1,A,8.70875864569097
0,0,0,A,8.95896518562222
0,0,0,A,7.82605765783227
2.77365,1,1,A,4.21211679570843
8.719624,2,1,A,7.81922962635872
0,0,0,A,6.1694426171307
0,0,0,A,8.36317794385832
0,0,0,A,7.43226918933215
0,0,0,A,4.00326043239329
0,0,0,A,7.38477537600556
0,0,0,A,12.0051312427967
0,0,0,A,11.4396801968105
0,0,0,A,7.13266799214762
0,0,0,A,4.2660680214176
0,0,0,A,5.09927885507932
0,0,0,A,5.52604105399223
0,0,0,A,8.62538526637945
0,0,0,A,6.13563442532904
0,0,0,A,5.32472440175479
0,0,0,A,4.70437170809601
0,0,0,A,5.67688529775477
0,0,0,A,5.26954535819823
0,0,0,A,8.73869921127334
0,0,0,A,10.2030948204919
0,0,0,A,5.71868112677475
0,0,0,A,7.61215814639581
0,0,0,A,7.76774995250162
0,0,0,A,7.8537949724996
0,0,0,A,7.15767454897286
0,0,0,A,2.88193531963042
0,0,0,A,6.01698174653574
0,0,0,A,7.58192426877213
0,0,0,A,6.09124198893551
0,0,0,A,6.36390850052703
0,0,0,A,3.95198312110733
0,0,0,A,8.87515979632735
0,0,0,A,7.0775116859586
0,0,0,A,7.73736828198889
0,0,0,A,8.63284539667075
0,0,0,A,9.19786215893691
0,0,0,A,5.54564066481544
0,0,0,A,6.80392658471828
0,0,0,A,2.64926838502287
0,0,0,A,6.56663486955222
0,0,0,A,5.49535470275441
11.22002,3,1,A,7.94932147476356
0,0,0,A,6.35553432806046
0,0,0,A,6.54499344312353
0,0,0,A,7.47496996558039
0,0,0,A,8.65386154549196
0,0,0,A,7.16304511518683
0,0,0,A,11.3738327804021
0,0,0,A,3.96220584155526
0,0,0,A,8.23636709759011
0,0,0,A,9.19422872760333
0,0,0,A,3.24376869178377
0,0,0,A,6.75297214405145
0,0,0,A,4.52064468339085
0,0,0,A,9.02223418455105
0,0,0,A,7.65156200435012
0,0,0,A,6.7939312379458
0,0,0,A,6.66343239066191
0,0,0,A,7.30727505873074
0,0,0,A,5.02963429829105
0,0,0,A,6.97682152752532
0,0,0,A,6.01835963100893
0,0,0,A,5.57004695513751
0,0,0,A,6.34295146886143
0,0,0,A,7.68375356931938
0,0,0,A,5.05286279297433
0,0,0,A,5.15431692695711
0,0,0,A,4.7126299199881
